15:35:25.779 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Alice', age=36, gender='Male'}
15:35:34.872 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:34.872 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:34.873 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Frank', age=21, gender='Male'}
15:35:36.387 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:36.390 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:36.392 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Ivy', age=30, gender='Male'}
15:35:37.899 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Priority Request Produced: PassengerDetails{name='Emma', age=71, gender='Male'}
15:35:37.899 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Emma', age=15, gender='Male'}
15:35:37.901 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Ivy', age=34, gender='Female'}
15:35:37.902 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:37.903 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:37.904 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Emma', age=15, gender='Male'}
15:35:39.405 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:39.407 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:39.409 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Ivy', age=34, gender='Female'}
15:35:40.911 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:35:40.912 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:40.913 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Emma', age=71, gender='Male'}
15:35:42.422 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Bob', age=58, gender='Female'}
15:35:42.422 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Emma', age=4, gender='Male'}
15:35:42.423 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Jack', age=41, gender='Male'}
15:35:42.423 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Emma', age=4, gender='Male'}
15:35:42.424 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:42.424 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:42.425 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Jack', age=41, gender='Male'}
15:35:43.930 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:43.932 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:43.933 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Bob', age=58, gender='Female'}
15:35:45.445 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Priority Request Produced: PassengerDetails{name='Emma', age=72, gender='Male'}
15:35:45.447 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Alice', age=7, gender='Male'}
15:35:45.448 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Ivy', age=41, gender='Male'}
15:35:45.449 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Alice', age=7, gender='Male'}
15:35:45.450 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:45.453 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:45.455 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Ivy', age=41, gender='Male'}
15:35:46.959 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:35:46.960 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:46.961 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Emma', age=72, gender='Male'}
15:35:48.475 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Frank', age=51, gender='Male'}
15:35:48.477 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Ivy', age=42, gender='Male'}
15:35:48.478 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Grace', age=39, gender='Female'}
15:35:48.479 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:48.480 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:48.481 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Grace', age=39, gender='Female'}
15:35:49.996 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:49.998 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:49.998 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Ivy', age=42, gender='Male'}
15:35:51.507 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:51.508 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:35:51.508 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Frank', age=51, gender='Male'}
15:35:53.022 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Bob', age=38, gender='Female'}
15:35:53.023 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Grace', age=60, gender='Female'}
15:35:53.024 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Frank', age=23, gender='Female'}
15:35:53.024 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:53.025 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:53.027 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Frank', age=23, gender='Female'}
15:35:54.537 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:54.539 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:54.540 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Bob', age=38, gender='Female'}
15:35:56.047 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:35:56.049 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:56.050 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Grace', age=60, gender='Female'}
15:35:57.554 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Ivy', age=26, gender='Female'}
15:35:57.556 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Priority Request Produced: PassengerDetails{name='Harry', age=71, gender='Female'}
15:35:57.557 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Jack', age=37, gender='Female'}
15:35:57.558 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:57.559 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:57.560 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Ivy', age=26, gender='Female'}
15:35:59.067 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:35:59.069 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:35:59.070 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Jack', age=37, gender='Female'}
15:36:00.587 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:36:00.589 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:00.590 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Harry', age=71, gender='Female'}
15:36:02.095 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Priority Request Produced: PassengerDetails{name='Bob', age=80, gender='Female'}
15:36:02.095 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Jack', age=4, gender='Male'}
15:36:02.096 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Frank', age=34, gender='Female'}
15:36:02.097 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Jack', age=4, gender='Male'}
15:36:02.098 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:02.099 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:02.100 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Frank', age=34, gender='Female'}
15:36:03.605 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:36:03.607 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:03.608 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Bob', age=80, gender='Female'}
15:36:05.111 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Priority Request Produced: PassengerDetails{name='Frank', age=74, gender='Female'}
15:36:05.112 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Bob', age=59, gender='Female'}
15:36:05.113 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Frank', age=2, gender='Female'}
15:36:05.113 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Frank', age=2, gender='Female'}
15:36:05.115 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:05.116 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:05.117 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Bob', age=59, gender='Female'}
15:36:06.619 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:36:06.621 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:06.622 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Frank', age=74, gender='Female'}
15:36:08.126 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Grace', age=38, gender='Female'}
15:36:08.127 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Emma', age=42, gender='Male'}
15:36:08.127 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Charlie', age=27, gender='Female'}
15:36:08.128 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:08.130 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:08.131 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Charlie', age=27, gender='Female'}
15:36:09.633 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:09.635 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:09.636 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Grace', age=38, gender='Female'}
15:36:11.138 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:11.140 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:36:11.141 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Emma', age=42, gender='Male'}
15:36:12.646 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Emma', age=51, gender='Male'}
15:36:12.646 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Grace', age=55, gender='Male'}
15:36:12.646 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Harry', age=48, gender='Female'}
15:36:12.647 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:12.647 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:12.648 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Harry', age=48, gender='Female'}
15:36:14.160 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:14.161 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:36:14.162 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Emma', age=51, gender='Male'}
15:36:15.677 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:15.679 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:36:15.680 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Grace', age=55, gender='Male'}
15:36:17.190 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Priority Request Produced: PassengerDetails{name='Alice', age=64, gender='Male'}
15:36:17.191 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Ivy', age=39, gender='Male'}
15:36:17.191 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Grace', age=8, gender='Female'}
15:36:17.192 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Grace', age=8, gender='Female'}
15:36:17.193 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:17.194 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:36:17.195 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Ivy', age=39, gender='Male'}
15:36:18.711 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:36:18.711 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:36:18.712 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Alice', age=64, gender='Male'}
15:36:20.215 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Harry', age=6, gender='Female'}
15:36:20.216 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Grace', age=48, gender='Female'}
15:36:20.217 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Emma', age=34, gender='Female'}
15:36:20.217 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Harry', age=6, gender='Female'}
15:36:20.218 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:20.220 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:20.221 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Emma', age=34, gender='Female'}
15:36:21.728 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:21.729 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:21.730 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Grace', age=48, gender='Female'}
15:36:23.231 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Jack', age=24, gender='Male'}
15:36:23.233 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Charlie', age=22, gender='Male'}
15:36:23.233 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Priority Request Produced: PassengerDetails{name='Harry', age=63, gender='Female'}
15:36:23.234 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:23.235 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:36:23.236 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Charlie', age=22, gender='Male'}
15:36:24.740 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:24.741 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:36:24.742 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Jack', age=24, gender='Male'}
15:36:26.252 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:36:26.254 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:26.255 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Harry', age=63, gender='Female'}
15:36:27.771 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Frank', age=60, gender='Female'}
15:36:27.772 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Priority Request Produced: PassengerDetails{name='Jack', age=71, gender='Female'}
15:36:27.773 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Frank', age=11, gender='Female'}
15:36:27.774 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:27.779 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:27.780 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Frank', age=11, gender='Female'}
15:36:29.289 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:36:29.290 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:29.290 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Frank', age=60, gender='Female'}
15:36:30.801 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//SeniorCitizen.txt
15:36:30.803 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:30.803 [Thread-3] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Jack', age=71, gender='Female'}
15:36:32.316 [Thread-2] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Grace', age=55, gender='Male'}
15:36:32.317 [Thread-0] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='David', age=47, gender='Female'}
15:36:32.318 [Thread-1] INFO  com.Ritik.ProducerConsumer.App - Regular Request Produced: PassengerDetails{name='Alice', age=23, gender='Male'}
15:36:32.319 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:32.321 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Male.txt
15:36:32.322 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='Alice', age=23, gender='Male'}
15:36:33.823 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//NormalCitizen.txt
15:36:33.825 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Content is successfully written to the file: D://FileHandling//Female.txt
15:36:33.826 [Thread-4] INFO  com.Ritik.ProducerConsumer.App - Consumed: PassengerDetails{name='David', age=47, gender='Female'}
